age,lemp_std,ltno_std,lpdy_std,lemp_iqr,ltno_iqr,lpdy_iqr
0,0.735822,1.044579,,0.832458,1.051735,
1,0.73091,1.058396,0.80725,0.8671,1.074496,0.729445
2,0.774753,1.255923,1.075811,0.95061,1.283775,1.04154
3,0.811959,1.267629,1.034131,1.005786,1.329366,1.01556
4,0.843316,1.290761,1.024338,1.07798,1.376294,1.011942
5,0.875371,1.321954,1.031548,1.106856,1.424732,1.033693
6,0.904612,1.350705,1.036396,1.162414,1.478325,1.04974
7,0.930353,1.378913,1.039631,1.20891,1.52381,1.065154
8,0.952243,1.399996,1.043111,1.256945,1.557021,1.077047
9,0.971875,1.417115,1.037477,1.286063,1.584317,1.072874
10,0.992891,1.434298,1.032807,1.305622,1.603644,1.065629
11,1.012358,1.45407,1.032774,1.319644,1.636902,1.067878
12,1.029501,1.473367,1.033589,1.33788,1.671363,1.070947
13,1.044665,1.490129,1.03319,1.3591,1.70597,1.081514
14,1.058112,1.506052,1.033356,1.364847,1.738715,1.094035
15,1.071267,1.522893,1.034625,1.34645,1.764188,1.101687
16,1.080262,1.537265,1.038436,1.33919,1.78867,1.104925
17,1.086676,1.546083,1.038622,1.338352,1.803311,1.108795
18,1.093846,1.553283,1.036552,1.339768,1.818558,1.10973
19,1.099977,1.560217,1.032504,1.354517,1.833563,1.114
