age,firmshr,empshr,tnoshr,exitshr,sizeavg
0,0.131417,0.040955,0,0.19833,3.13
1,0.102398,0.031573,0.02793,0.223079,3.07
2,0.077634,0.027903,0.02667,0.181718,3.55
3,0.063929,0.026303,0.026523,0.160728,4.02
4,0.053011,0.024169,0.025631,0.14556,4.48
5,0.044997,0.023061,0.024984,0.129411,5.04
6,0.03955,0.022662,0.024116,0.115985,5.65
7,0.035434,0.022469,0.024744,0.106192,6.24
8,0.03221,0.022154,0.024388,0.099271,6.77
9,0.029383,0.021609,0.023993,0.093729,7.25
10,0.026857,0.021285,0.023766,0.086389,7.85
11,0.024551,0.020846,0.023057,0.082347,8.44
12,0.022603,0.020666,0.022735,0.078636,9.12
13,0.020935,0.020231,0.022214,0.075164,9.67
14,0.019343,0.019717,0.021501,0.073104,10.2
15,0.017835,0.019267,0.020496,0.070606,10.83
16,0.016654,0.018679,0.02003,0.069155,11.29
17,0.015722,0.018404,0.019812,0.067842,11.8
18,0.014836,0.017994,0.019143,0.065933,12.25
19,0.01405,0.017715,0.018211,0.065575,12.76
