date,w
2000 JAN,307
2000 FEB,300
2000 MAR,311
2000 APR,310
2000 MAY,312
2000 JUN,311
2000 JUL,314
2000 AUG,315
2000 SEP,317
2000 OCT,318
2000 NOV,320
2000 DEC,325
2001 JAN,324
2001 FEB,326
2001 MAR,326
2001 APR,328
2001 MAY,327
2001 JUN,329
2001 JUL,329
2001 AUG,331
2001 SEP,331
2001 OCT,333
2001 NOV,334
2001 DEC,336
2002 JAN,336
2002 FEB,335
2002 MAR,334
2002 APR,340
2002 MAY,340
2002 JUN,341
2002 JUL,342
2002 AUG,341
2002 SEP,342
2002 OCT,342
2002 NOV,343
2002 DEC,344
2003 JAN,345
2003 FEB,342
2003 MAR,349
2003 APR,349
2003 MAY,349
2003 JUN,350
2003 JUL,351
2003 AUG,353
2003 SEP,354
2003 OCT,356
2003 NOV,356
2003 DEC,358
2004 JAN,359
2004 FEB,354
2004 MAR,362
2004 APR,363
2004 MAY,365
2004 JUN,365
2004 JUL,367
2004 AUG,368
2004 SEP,371
2004 OCT,373
2004 NOV,374
2004 DEC,374
2005 JAN,376
2005 FEB,374
2005 MAR,377
2005 APR,379
2005 MAY,381
2005 JUN,381
2005 JUL,384
2005 AUG,387
2005 SEP,388
2005 OCT,388
2005 NOV,390
2005 DEC,391
2006 JAN,392
2006 FEB,396
2006 MAR,399
2006 APR,395
2006 MAY,399
2006 JUN,402
2006 JUL,402
2006 AUG,401
2006 SEP,402
2006 OCT,405
2006 NOV,406
2006 DEC,413
2007 JAN,419
2007 FEB,425
2007 MAR,418
2007 APR,411
2007 MAY,417
2007 JUN,419
2007 JUL,421
2007 AUG,422
2007 SEP,423
2007 OCT,421
2007 NOV,424
2007 DEC,425
2008 JAN,437
2008 FEB,444
2008 MAR,438
2008 APR,430
2008 MAY,435
2008 JUN,433
2008 JUL,434
2008 AUG,434
2008 SEP,434
2008 OCT,436
2008 NOV,434
2008 DEC,435
2009 JAN,433
2009 FEB,418
2009 MAR,435
2009 APR,437
2009 MAY,437
2009 JUN,437
2009 JUL,436
2009 AUG,437
2009 SEP,437
2009 OCT,437
2009 NOV,438
2009 DEC,439
2010 JAN,439
2010 FEB,442
2010 MAR,441
2010 APR,442
2010 MAY,445
2010 JUN,444
2010 JUL,444
2010 AUG,445
2010 SEP,447
2010 OCT,447
2010 NOV,448
2010 DEC,449
2011 JAN,453
2011 FEB,453
2011 MAR,453
2011 APR,452
2011 MAY,453
2011 JUN,458
2011 JUL,456
2011 AUG,454
2011 SEP,454
2011 OCT,456
2011 NOV,457
2011 DEC,457
2012 JAN,455
2012 FEB,457
2012 MAR,457
2012 APR,460
2012 MAY,460
2012 JUN,463
2012 JUL,463
2012 AUG,464
2012 SEP,462
2012 OCT,462
2012 NOV,463
2012 DEC,461
2013 JAN,461
2013 FEB,462
2013 MAR,454
2013 APR,478
2013 MAY,468
2013 JUN,467
2013 JUL,466
2013 AUG,466
2013 SEP,466
2013 OCT,466
2013 NOV,466
2013 DEC,468
2014 JAN,469
2014 FEB,472
2014 MAR,461
2014 APR,469
2014 MAY,469
2014 JUN,470
2014 JUL,468
2014 AUG,469
2014 SEP,473
2014 OCT,475
2014 NOV,475
2014 DEC,478
2015 JAN,476
2015 FEB,478
2015 MAR,480
2015 APR,481
2015 MAY,482
2015 JUN,481
2015 JUL,484
2015 AUG,484
2015 SEP,483
2015 OCT,483
2015 NOV,484
2015 DEC,487
2016 JAN,489
2016 FEB,486
2016 MAR,490
2016 APR,495
2016 MAY,493
2016 JUN,493
2016 JUL,496
2016 AUG,494
2016 SEP,495
2016 OCT,496
2016 NOV,498
2016 DEC,496
2017 JAN,498
2017 FEB,499
2017 MAR,502
2017 APR,502
2017 MAY,504
2017 JUN,508
2017 JUL,504
2017 AUG,506
2017 SEP,509
2017 OCT,507
2017 NOV,510
2017 DEC,512
2018 JAN,510
2018 FEB,512
2018 MAR,516
2018 APR,515
2018 MAY,516
2018 JUN,519
2018 JUL,520
2018 AUG,523
2018 SEP,524
2018 OCT,527
2018 NOV,527
2018 DEC,528
2019 JAN,530
2019 FEB,529
2019 MAR,530
2019 APR,534
2019 MAY,537
2019 JUN,539
2019 JUL,541
2019 AUG,542
